time,gFx,gFy,gFz,TgF
4.789403,-0.9682,0.6450,-0.1214,1.170
4.803078,-0.7571,0.5861,-0.0948,0.962
4.822814,-0.5211,0.5621,-0.0523,0.768
4.837688,-0.3430,0.5676,-0.1168,0.673
4.856066,-0.3198,0.5339,-0.1520,0.641
4.871664,-0.3962,0.4684,-0.2470,0.661
4.888623,-0.4268,0.4444,-0.3611,0.714
4.907082,-0.3454,0.4798,-0.4044,0.716
4.923368,-0.3333,0.5378,-0.3636,0.730
4.940158,-0.3142,0.6604,-0.5402,0.909
4.957662,-0.2211,0.6718,-0.6711,0.975
4.974670,-0.2513,0.6484,-0.7198,1.001
4.992044,-0.1556,0.5961,-0.5959,0.857
5.008936,-0.0249,0.5465,-0.3428,0.646
5.035278,-0.0473,0.5507,-0.0626,0.556
5.053745,-0.1290,0.6073,0.1821,0.647
5.072326,-0.1174,0.5619,0.2828,0.640
5.088866,0.0197,0.5378,0.4223,0.684
5.105529,0.1128,0.5578,0.6229,0.844
5.120843,0.1737,0.6650,0.9041,1.136
5.135396,0.0136,0.6220,0.9877,1.167
5.154595,-0.2543,0.5304,0.9127,1.086
5.169225,-0.4029,0.4302,0.8582,1.041
5.187922,-0.3867,0.4080,0.8999,1.061
5.198973,-0.2858,0.3865,0.8931,1.014
5.214575,-0.2199,0.3987,0.8308,0.947
5.228435,-0.1216,0.4139,0.6370,0.769
5.244538,-0.0359,0.4794,0.5175,0.706
5.261550,0.0370,0.4720,0.3795,0.607
5.276127,-0.0642,0.4278,0.3463,0.554
5.291654,0.0302,0.3774,0.3131,0.491
5.304342,0.3044,0.3445,0.2884,0.543
5.320023,0.4131,0.3506,0.5473,0.770
5.335992,0.1570,0.3443,0.7983,0.883
5.354126,-0.0662,0.2619,0.9297,0.968
5.369894,-0.2895,0.1906,0.8997,0.964
5.386547,-0.3170,0.0736,0.9891,1.041
5.400604,-0.2851,0.0212,0.9764,1.017
5.416839,-0.1991,-0.0358,0.8958,0.918
5.431300,-0.0012,0.2781,1.5657,1.590
5.453127,0.1241,0.3874,1.4685,1.524
5.468943,0.0309,0.2854,1.4287,1.457
5.483543,0.2235,0.2802,1.2510,1.301
5.499066,0.2359,0.3037,1.0812,1.148
5.515346,0.2403,0.2942,0.9733,1.045
5.533587,0.2689,0.2338,0.9950,1.057
5.550078,0.2410,0.2224,0.8396,0.901
5.568228,0.1842,0.2062,0.8899,0.932
5.582769,0.2716,0.1884,0.9517,1.008
5.601109,0.0994,0.0762,1.0890,1.096
5.616758,-0.0149,-0.0239,1.0676,1.068
5.631154,-0.1409,-0.1103,0.8193,0.839
5.647686,-0.2276,-0.1548,0.6644,0.719
5.666374,-0.1458,-0.0719,0.3502,0.386
5.685740,0.1172,0.0196,0.5554,0.568
5.703181,0.0987,-0.1296,1.5486,1.557
5.720509,0.1998,-0.0497,1.0123,1.033
5.737956,0.1378,-0.1145,1.6136,1.623
5.755727,0.0789,-0.1357,1.5911,1.599
5.773704,-0.2562,-0.3248,1.4685,1.526
5.790919,-0.3352,-0.4438,0.7316,0.919
5.806811,-0.4490,-0.5415,0.1729,0.724
5.823542,-0.1329,-0.2496,0.9666,1.007
5.840373,0.2261,0.0225,1.4003,1.419
5.858682,0.4504,0.0161,1.3507,1.424
5.876050,0.3212,-0.1299,0.9901,1.049
5.892637,0.2697,-0.0470,0.8953,0.936
5.909805,0.1262,0.0435,0.8574,0.868
5.926600,-0.0461,0.0643,0.7932,0.797
5.943232,-0.0435,-0.0060,0.6671,0.669
5.961260,0.3314,0.1011,0.5469,0.647
5.978917,0.8790,0.4488,0.6478,1.181
5.996695,0.6078,0.2746,0.7514,1.005
6.014570,-0.0471,0.0386,0.6346,0.638
6.032017,-0.2753,0.0797,0.7026,0.759
6.046612,-0.2841,0.0533,0.7164,0.773
6.063139,-0.2658,0.0342,0.9070,0.946
6.079977,-0.4421,-0.0148,0.8070,0.920
6.095271,-0.7486,-0.1526,0.6786,1.022
6.119171,-0.8707,-0.1028,0.5408,1.030
6.134172,-1.0230,-0.0356,0.5198,1.148
6.151648,-1.1258,-0.0214,0.5200,1.240
6.167987,-1.1641,-0.0986,0.6104,1.318
6.185174,-1.2028,-0.1585,0.5918,1.350
6.203437,-1.3440,-0.1627,0.3194,1.391
6.220228,-1.5238,-0.0776,-0.0677,1.527
6.232350,-1.8113,-0.0048,-0.2678,1.831
6.248316,-1.9584,0.0401,-0.4024,2.000
6.264942,-2.1287,0.1708,-0.5756,2.212
6.282808,-2.1912,0.2096,-0.6284,2.289
6.300243,-2.1187,0.2632,-0.5632,2.208
6.317262,-1.9340,0.4647,-0.3667,2.023
6.333815,-1.9154,0.4935,-0.2434,1.993
6.348374,-1.8795,0.5758,-0.0780,1.967
6.364897,-1.8348,0.6093,0.0446,1.934
6.381380,-1.8199,0.6000,0.2168,1.928
6.397468,-1.7742,0.5676,0.2689,1.882
6.413596,-1.6174,0.5651,0.1863,1.723
6.430658,-1.4329,0.5949,0.1359,1.557
6.446892,-1.2066,0.5341,0.0895,1.323
6.463711,-0.9415,0.5028,0.0133,1.067
6.481832,-0.7353,0.3999,-0.0382,0.838
6.503259,-0.6364,0.3240,-0.0228,0.715
6.517657,-0.5775,0.2851,0.0732,0.648
6.538882,-0.5434,0.3291,0.1567,0.654
6.556617,-0.6010,0.3398,0.2072,0.721
6.573722,-0.6166,0.3518,0.2584,0.756
6.593117,-0.5096,0.4153,0.2384,0.699
6.611077,-0.4642,0.4730,0.1049,0.671
6.629443,-0.4619,0.5231,-0.0028,0.698
6.646221,-0.5585,0.6084,-0.0839,0.830
6.662646,-0.6075,0.6567,-0.1803,0.913
6.679646,-0.5770,0.7081,-0.3049,0.963
6.696693,-0.4837,0.7381,-0.3936,0.966
6.713598,-0.4180,0.8029,-0.3424,0.968
6.730750,-0.4719,0.8434,-0.2299,0.993
6.748321,-0.5783,0.8625,-0.1537,1.050
6.765950,-0.5783,0.8683,-0.1163,1.050
6.783120,-0.4383,0.8775,-0.0435,0.982
6.801084,-0.2683,0.8844,0.0160,0.924
6.819721,-0.1607,0.8842,0.1203,0.907
6.838704,-0.1456,0.8481,0.1762,0.878
6.857109,-0.2531,0.8537,0.2142,0.916
6.877067,-0.3687,0.7862,0.2219,0.896
6.896946,-0.2997,0.7214,0.1829,0.802
6.916340,-0.2369,0.6770,0.1467,0.732
6.936431,-0.1575,0.5910,0.0919,0.619
6.955990,-0.0969,0.5414,0.0460,0.552
6.975112,-0.1299,0.5229,0.0241,0.539
6.993595,-0.2164,0.4894,-0.0755,0.540
7.010338,-0.2084,0.4757,-0.1774,0.549
7.027598,-0.1104,0.4845,-0.2121,0.540
7.044761,0.0121,0.5350,-0.1669,0.561
7.062092,0.0023,0.5619,-0.0941,0.570
7.079693,-0.2404,0.5619,-0.0289,0.612
7.097094,-0.3684,0.5688,-0.0545,0.680
7.114845,-0.4703,0.5898,-0.2480,0.794
7.132998,-0.3398,0.6044,-0.4137,0.807
7.150742,-0.1781,0.6538,-0.3529,0.764
7.167711,-0.2574,0.7679,-0.1168,0.818
7.182817,-0.6776,0.8407,-0.1608,1.092
7.199241,-1.0349,0.8025,-0.4610,1.388
7.216597,-1.1409,0.7911,-0.7645,1.585
