time,gFx,gFy,gFz,TgF
5.331017,-0.2411,0.6731,0.4243,0.831
5.349370,-0.1011,0.6562,0.3844,0.767
5.370258,-0.1346,0.6047,0.2994,0.688
5.390143,-0.2844,0.5138,0.1985,0.620
5.409149,-0.3962,0.4461,0.0854,0.603
5.430259,-0.2968,0.4288,-0.0157,0.522
5.450378,-0.1942,0.5169,-0.0848,0.559
5.466138,-0.2343,0.6829,0.0439,0.723
5.483196,-0.4549,0.7342,0.1555,0.878
5.500224,-0.7715,0.7217,0.2286,1.081
5.527173,-1.0747,0.7964,0.3707,1.388
5.544880,-1.0537,1.0857,0.2801,1.539
5.562585,-1.2222,1.0720,0.1533,1.633
5.579284,-1.3219,0.9704,0.1572,1.647
5.596980,-1.1294,0.9443,0.3060,1.504
5.614200,-0.8331,0.9704,0.4017,1.341
5.633168,-0.6326,1.0594,0.3111,1.272
5.652142,-0.7898,1.1908,-0.0217,1.429
5.670830,-1.1113,1.1563,-0.2819,1.628
5.691321,-1.0593,1.0880,-0.1728,1.528
5.714067,-0.7886,0.9071,0.0956,1.206
5.735072,-0.5744,0.7440,0.2794,0.981
5.752672,-0.2939,0.6040,0.3844,0.774
5.771675,-0.2304,0.5455,0.3488,0.687
5.791441,-0.1642,0.5157,0.2319,0.589
5.810997,0.0183,0.5160,0.0323,0.517
5.831368,0.0630,0.5739,-0.0159,0.578
5.850204,-0.0703,0.6171,-0.0371,0.622
5.870691,-0.2194,0.6633,-0.0557,0.701
5.890052,-0.2501,0.7246,-0.0096,0.767
5.910476,-0.2489,0.8082,0.2733,0.889
5.930583,-0.4143,0.8167,0.4868,1.037
5.951287,-0.7938,0.6277,0.3876,1.084
5.970937,-0.8211,0.4605,0.3138,0.992
5.990391,-0.3225,0.5621,0.2305,0.688
6.010382,0.0903,0.7379,-0.0028,0.743
6.030813,-0.0298,0.8679,-0.3086,0.922
6.052469,-0.4835,0.8199,-0.2018,0.973
6.073262,-0.5434,1.0186,0.3937,1.220
6.094074,-0.2546,1.3144,0.5430,1.445
6.115139,-0.1339,1.7605,0.6197,1.871
6.133571,-0.6161,1.7974,0.7308,2.036
6.153465,-1.0344,1.6294,0.9542,2.153
6.175066,-0.9511,1.4468,1.4101,2.233
6.194933,-0.4703,1.2763,1.4863,2.015
6.214933,-0.0041,1.1202,1.2579,1.684
6.234785,0.2948,0.9755,0.9225,1.375
6.254427,0.3337,0.8854,0.6116,1.127
6.273301,0.2144,0.7811,0.3500,0.882
6.291979,0.1218,0.6885,0.0416,0.700
6.311474,0.0901,0.5917,-0.2407,0.645
6.329725,-0.0266,0.5250,-0.3186,0.615
6.348300,-0.1106,0.4896,-0.2006,0.541
6.367228,-0.2152,0.5253,0.2701,0.629
6.392542,-0.3708,0.5209,0.4990,0.811
6.413160,-0.3689,0.4628,0.4892,0.768
6.431200,-0.1588,0.4383,0.4073,0.619
6.459639,0.0326,0.4263,0.4059,0.590
6.479271,-0.0026,0.3220,0.3153,0.451
6.497815,-0.0686,0.2316,0.1621,0.291
6.517023,-0.0666,0.1798,-0.0474,0.198
6.533268,-0.1517,0.1463,-0.1782,0.276
6.561039,-0.4458,0.1444,-0.3413,0.580
6.591195,-0.7530,0.2392,-0.2072,0.817
6.608104,-0.7777,0.8167,-0.0846,1.131
6.626076,-0.3882,1.4072,0.1347,1.466
6.645359,0.2680,2.1416,0.5759,2.234
6.665775,0.2838,2.4779,0.8345,2.630
6.686166,-0.4453,2.4124,0.7131,2.555
6.705591,-0.5602,2.3100,0.7829,2.503
6.723545,-0.2876,2.1385,1.0255,2.389
6.752354,-0.2131,1.9252,1.3216,2.345
6.773861,-0.4078,1.6850,1.4834,2.282
6.794207,-0.5702,1.5825,0.8559,1.887
6.815345,-0.7928,1.2082,0.0681,1.447
6.835011,-0.5443,0.8402,-0.0052,1.001
6.855950,-0.2499,0.5397,0.1140,0.606
6.876423,0.0036,0.2949,0.1284,0.322
6.913381,0.0874,0.1346,0.0734,0.176
6.934375,-0.0848,0.0049,-0.1239,0.150
6.955471,-0.0016,0.0599,-0.1281,0.141
6.976204,0.2582,0.2604,0.0129,0.367
6.997879,0.4717,0.5282,0.2677,0.757
7.018416,0.4781,0.7461,0.3578,0.956
7.040432,0.0728,0.6582,0.0637,0.665
7.061362,-0.1607,0.5262,-0.2670,0.612
7.082278,-0.1971,0.4437,-0.4398,0.655
7.102053,-0.1488,0.3818,-0.4002,0.573
7.121124,-0.3359,0.3692,-0.2306,0.550
7.138695,-0.4351,0.4588,-0.1376,0.647
7.158074,-0.4630,0.6379,-0.0328,0.789
7.178339,-0.3433,0.9888,-0.0750,1.049
7.199139,-0.1146,1.4190,-0.4449,1.492
7.218315,-0.0791,1.7423,-0.4654,1.805
7.239527,-0.2287,1.8827,0.1191,1.900
7.259718,-0.3494,1.9203,0.6756,2.065
7.278972,-0.2220,1.8874,0.9107,2.107
7.299422,-0.0444,1.8898,0.9871,2.133
7.321226,0.1136,1.9611,0.9903,2.200
7.343067,-0.0530,1.9408,0.6977,2.063
7.366033,-0.5979,1.6767,0.2093,1.792
7.386181,-0.7588,1.2555,-0.1717,1.477
7.404006,-0.4722,0.9741,-0.0939,1.087
7.425861,-0.1673,0.7176,0.0893,0.742
7.446354,0.0476,0.5013,0.2288,0.553
7.467045,0.0908,0.3809,0.2638,0.472
7.487643,0.0055,0.3063,0.1778,0.354
7.508081,-0.1202,0.2465,-0.0077,0.274
7.530426,-0.1730,0.3023,-0.1419,0.376
7.553043,0.0214,0.5524,-0.0980,0.561
7.570118,0.3014,0.8370,0.0092,0.890
7.591214,0.2408,1.0191,-0.0939,1.051
7.613963,-0.0188,1.1507,-0.3359,1.199
7.635688,-0.2529,1.1779,-0.4078,1.272
7.662214,-0.2711,1.1957,-0.1012,1.230
7.684648,-0.4148,1.0349,0.2505,1.143
7.707409,-0.2323,1.1873,0.5743,1.339
7.728108,-0.1676,1.2062,0.9332,1.534
7.747627,0.0067,1.0493,1.4289,1.773
7.769824,0.2515,0.7713,1.7301,1.911
7.792289,0.3825,0.4491,1.6966,1.796
7.815361,0.5927,0.1341,1.3397,1.471
7.838197,0.6051,-0.2496,0.6957,0.955
7.860600,0.5343,-0.5284,0.0893,0.757
7.885453,0.4721,-0.6104,-0.4926,0.915
7.906873,0.2916,-0.6757,-0.8514,1.125
7.926113,0.2168,-0.4216,-1.2817,1.367
7.947690,-0.0808,-0.2582,-1.6550,1.677
7.971214,-0.6569,0.1486,-1.3103,1.473
7.993229,-2.0549,0.6829,-0.9294,2.356
8.016221,-3.1171,0.9909,-1.1374,3.463
8.038266,-2.4209,1.3594,-1.2578,3.048
8.060029,-1.2687,1.3973,-1.2211,2.248
8.080972,-0.8775,1.7129,-1.4173,2.390
