time,gFx,gFy,gFz,TgF
5.732364,-0.6075,0.5959,-0.0064,0.851
5.749164,-0.6137,0.6254,-0.0277,0.877
5.766025,-0.3789,0.6352,0.0578,0.742
5.780378,-0.1221,0.7508,0.1909,0.784
5.796574,0.0090,0.8847,0.1543,0.898
5.813935,0.0535,0.9963,0.0979,1.003
5.832107,0.1113,1.0620,0.0209,1.068
5.851064,0.3906,1.1889,-0.0811,1.254
5.877957,0.5472,1.2926,-0.1412,1.411
5.896157,0.3603,1.3256,-0.3816,1.426
5.914750,0.1873,1.3014,-0.3406,1.358
5.933358,0.2992,1.2595,-0.3411,1.339
5.950518,0.4141,1.2199,-0.5835,1.414
5.967662,0.5335,1.1984,-0.8723,1.575
5.984755,0.6503,1.2194,-1.0506,1.736
6.002914,0.6943,1.2192,-1.0513,1.753
6.015651,0.6193,1.1341,-0.9692,1.615
6.030364,0.5355,1.0738,-0.9069,1.504
6.044761,0.4341,0.9721,-0.8742,1.378
6.060762,0.4316,0.8879,-0.8167,1.281
6.076294,0.5115,0.8453,-0.7266,1.226
6.091532,0.6373,0.8011,-0.7063,1.244
6.107702,0.7150,0.7671,-0.6986,1.260
6.124451,0.7390,0.7237,-0.6670,1.231
6.141499,0.8135,0.6557,-0.5947,1.202
6.158483,0.9051,0.5942,-0.5346,1.207
6.174492,0.9298,0.5250,-0.5439,1.198
6.177787,0.8573,0.4310,-0.5458,1.104
6.193973,0.8406,0.4178,-0.5456,1.086
6.209936,0.7719,0.3084,-0.5031,0.972
6.228353,0.7067,0.2064,-0.4019,0.839
6.243752,0.5513,0.0361,-0.2529,0.608
6.260147,0.3537,-0.1035,-0.1109,0.385
6.278899,0.1578,-0.2007,-0.0279,0.257
6.295660,0.0342,-0.1252,0.0817,0.153
6.313348,-0.2707,-0.0011,0.0290,0.272
6.328564,-0.5480,0.0980,-0.0193,0.557
6.351317,-0.6680,0.2907,-0.0782,0.733
6.368074,-0.4148,0.4889,-0.1857,0.667
6.384433,-0.2721,0.4298,-0.1598,0.533
6.401683,-0.3173,0.4640,0.0607,0.565
6.418681,-0.5199,0.4144,0.3917,0.772
6.435672,-0.7884,0.3906,0.7401,1.150
6.451759,-1.0661,0.4224,1.0043,1.524
6.468405,-1.0566,0.4996,1.0812,1.592
6.486135,-1.0009,0.6613,1.0047,1.565
6.502834,-1.3244,0.7486,0.9014,1.768
6.520029,-1.7023,0.7813,0.9375,2.095
6.537129,-1.8688,0.7379,0.8958,2.200
6.555889,-1.6816,0.7300,0.7336,1.975
6.574562,-1.3566,0.7373,0.5747,1.648
6.593630,-1.1551,0.6948,0.5410,1.452
6.612619,-1.0193,0.6520,0.5913,1.347
6.631631,-1.0586,0.6124,0.6085,1.366
6.649909,-1.2567,0.5719,0.5743,1.495
6.666817,-1.4148,0.5080,0.7514,1.681
6.684773,-1.5743,0.4568,1.0756,1.961
6.703261,-1.6872,0.3571,1.2454,2.127
6.721534,-1.7617,0.2700,1.1259,2.108
6.739639,-1.7989,0.1959,0.8354,1.993
6.757825,-1.6598,0.1999,0.6451,1.792
6.777344,-1.5350,0.1722,0.4865,1.619
6.796831,-1.3340,0.1573,0.3378,1.385
6.815482,-1.1113,0.1458,0.2063,1.140
6.832664,-0.9694,0.1344,0.1455,0.989
6.850531,-1.0596,0.1200,0.1963,1.084
6.869421,-1.2604,0.1104,0.1631,1.276
6.888322,-1.3466,0.1361,0.0339,1.354
6.920448,-1.1839,0.1805,-0.0279,1.198
6.939938,-1.0493,0.3650,-0.0608,1.113
6.959528,-1.3049,0.4515,-0.1642,1.391
6.977762,-1.3696,0.4523,-0.3012,1.473
6.997223,-1.1775,0.4474,-0.3508,1.308
7.015537,-0.6293,0.5485,-0.3562,0.908
7.033590,-0.3542,0.6110,-0.2283,0.742
7.046587,-0.4178,0.5258,-0.0064,0.672
7.064133,-0.6105,0.4598,0.2757,0.813
7.080471,-0.8604,0.4195,0.5247,1.092
7.097776,-0.8067,0.4982,0.6251,1.136
7.115088,-0.5990,0.7273,0.4324,1.037
7.130592,-0.6389,0.8224,0.2535,1.072
7.145937,-0.8101,0.8627,0.3788,1.243
7.161049,-0.9054,0.9851,0.6830,1.502
7.177888,-0.9130,1.1092,0.8887,1.689
